[2025-03-28 12:30:00] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0.05, 'messageId': '15a016f0-aaa2-4765-9579-f7a00f1258a8', 'status': 0, 'statusDescription': None, 'networkId': ''}
[2025-03-28 12:30:01] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0.05, 'messageId': '4bbf13cf-f67a-4b94-96f7-75d830ed407e', 'status': 0, 'statusDescription': None, 'networkId': ''}
[2025-03-28 12:36:10] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0.05, 'messageId': 'de846c64-451c-4c56-850d-dd54e71f7111', 'status': 0, 'statusDescription': None, 'networkId': ''}
[2025-03-28 12:36:11] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0.05, 'messageId': '16770c36-d675-4b5f-8ba9-1d2f07e5fd11', 'status': 0, 'statusDescription': None, 'networkId': ''}
[2025-04-15 00:03:44] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0.03, 'messageId': '99cf8bec-ca9c-4bf8-bcec-f5265c4c27d4', 'status': 0, 'statusDescription': None, 'networkId': ''}
[2025-04-15 00:04:06] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0.03, 'messageId': '4f3b562c-6f35-4653-b9ca-b881068d3b4f', 'status': 0, 'statusDescription': None, 'networkId': ''}
[2025-04-16 22:21:14] ERROR | communications | views | Failed to send SMS to 0208729505. Response: {'rate': 0.03, 'messageId': 'eeeccd76-7b57-44ed-83ef-ead80e2441d7', 'status': 0, 'statusDescription': None, 'networkId': ''}
[2025-04-16 22:21:15] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0.03, 'messageId': 'a6411ef1-be00-44a0-8ece-2d45682d662c', 'status': 0, 'statusDescription': None, 'networkId': ''}
[2025-05-16 03:15:13] ERROR | communications | views | Failed to send SMS to 550000002. Response: {'rate': 0, 'messageId': '2557e995-6b1b-47b9-93ee-304c848d3a8c', 'status': 100, 'statusDescription': 'invalid api key credentials', 'networkId': None}
[2025-05-16 03:15:13] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0, 'messageId': 'c8ff989b-d886-4719-958b-e0745899b505', 'status': 100, 'statusDescription': 'invalid api key credentials', 'networkId': None}
[2025-05-16 03:15:45] ERROR | communications | views | Failed to send SMS to 550000006. Response: {'rate': 0, 'messageId': '62fbb40d-2302-4b21-91f6-b9c4d41250bf', 'status': 100, 'statusDescription': 'invalid api key credentials', 'networkId': None}
[2025-05-16 03:15:46] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0, 'messageId': '61b03290-be24-44f6-86d3-f552d626895f', 'status': 100, 'statusDescription': 'invalid api key credentials', 'networkId': None}
[2025-05-16 03:22:54] ERROR | communications | views | Failed to send SMS to 0256458092. Response: {'rate': 0.03, 'messageId': '860a5085-f0cd-406b-9603-d62f824a3513', 'status': 0, 'statusDescription': None, 'networkId': ''}
[2025-05-16 03:22:56] ERROR | communications | views | Failed to send SMS to 0546214293. Response: {'rate': 0.03, 'messageId': '4dad1463-df51-4ccd-a06f-2cc4511160a9', 'status': 0, 'statusDescription': None, 'networkId': ''}
